Verb,Gender,Number,Gender_Alt
acheté,M,S,achetée
achetée,F,S,acheté
achetées,F,P,achetés
achetés,M,P,achetées
brisé,M,S,brisée
brisée,F,S,brisé
brisées,F,P,brisés
brisés,M,P,brisées
caché,M,S,cachée
cachée,F,S,caché
cachées,F,P,cachés
cachés,M,P,cachées
cassé,M,S,cassée
cassée,F,S,cassé
cassées,F,P,cassés
cassés,M,P,cassées
couvert,M,S,couverte
couverte,F,S,couvert
couvertes,F,P,couverts
couverts,M,P,couvertes
déformé,M,S,déformée
déformée,F,S,déformé
déformées,F,P,déformés
déformés,M,P,déformées
fixé,M,S,fixée
fixée,F,S,fixé
fixées,F,P,fixés
fixés,M,P,fixées
jeté,M,S,jetée
jetée,F,S,jeté
jetées,F,P,jetés
jetés,M,P,jetées
laissé,M,S,laissée
laissée,F,S,laissé
laissées,F,P,laissés
laissés,M,P,laissées
ouvert,M,S,ouverte
ouverte,F,S,ouvert
ouvertes,F,P,ouverts
ouverts,M,P,ouvertes
perdu,M,S,perdue
perdue,F,S,perdu
perdues,F,P,perdus
perdus,M,P,perdues
réparé,M,S,réparée
réparée,F,S,réparé
réparées,F,P,réparés
réparés,M,P,réparées
retiré,M,S,retirée
retirée,F,S,retiré
retirées,F,P,retirés
retirés,M,P,retirées
tombé,M,S,tombée
tombée,F,S,tombé
tombées,F,P,tombés
tombés,M,P,tombées
utilisé,M,S,utilisée
utilisée,F,S,utilisé
utilisées,F,P,utilisés
utilisés,M,P,utilisées